stimuli_letter,target,correct_key,Letter_stimulus,trialsOne.thisRepN,trialsOne.thisTrialN,trialsOne.thisN,trialsOne.thisIndex,trialsTwo.thisRepN,trialsTwo.thisTrialN,trialsTwo.thisN,trialsTwo.thisIndex,WelcomeScreenText.started,WelcomeScreenText.stopped,WelcomeInstructions.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,text.started,text.stopped,eegtime,n_back_one.started,Key_one.started,n_back_one.stopped,Key_one.stopped,Key_one.keys,Key_one.corr,ISI.started,ISI.stopped,Key_one.rt,Intro_Block_two.started,Start_Block_One.started,Start_Block_One.keys,Start_Block_One.rt,Block_2_stimulus.started,key_Two.started,Block_2_stimulus.stopped,key_Two.stopped,key_Two.keys,key_Two.corr,key_Two.rt,GoodBye.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,22.174540799998795,24.17308409999896,24.17308409999896,25.17283779999707,z,39.47501140000168,,,,,,,,,,,,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
V,None,None,,0,0,0,0,,,,,,,,,,,64.67488779999985,65.1870173999996,72,65.1870173999996,65.25822849999895,65.49125069999718,66.35848969999643,None,1,66.35848969999643,67.85794109999915,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
X,N,None,,0,1,1,1,,,,,,,,,,,,,145,67.85794109999915,67.95828749999782,68.15831639999669,69.05832759999976,None,1,69.07513069999914,70.57575819999693,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
A,N,None,,0,2,2,2,,,,,,,,,,,,,217,70.57575819999693,70.65830239999923,70.89163719999851,71.75810079999792,None,1,71.75810079999792,73.25815449999936,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
A,Y,z,,0,3,3,3,,,,,,,,,,,,,271,73.25815449999936,73.35828799999945,73.55842889999985,,z,1,74.14188069999727,75.64227729999766,0.7515794000028109,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
X,N,None,,0,4,4,4,,,,,,,,,,,,,344,75.64227729999766,75.74170909999884,75.94215809999878,76.84340009999869,None,1,76.84340009999869,,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
B,N,None,,0,5,5,5,,,,,,,,,,,,,416,78.35854379999728,78.4424629999994,78.65857979999782,,None,1,79.55866349999997,,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
B,Y,z,,0,6,6,6,,,,,,,,,,,,,452,81.05856149999818,81.14395829999921,81.35859039999923,,z,1,81.64288129999841,,0.4716599999992468,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
X,N,None,,0,7,7,7,,,,,,,,,,,,,523,83.15856129999884,83.22541909999927,83.45897149999655,84.32558869999775,None,1,84.342028199997,85.84254419999706,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
Y,N,None,,0,8,8,8,,,,,,,,,,,,,596,85.84254419999706,85.94231709999804,86.14237429999775,87.04214369999681,None,1,87.04214369999681,88.54273379999722,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
Y,Y,z,,0,9,9,9,,,,,,,,,,,,,635,88.54273379999722,88.6423240999975,88.84368949999771,,z,1,89.17561899999782,90.67827569999645,0.5028351000000839,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
B,N,None,,0,10,10,10,,,,,,,,,,,,,708,90.67827569999645,90.77576829999816,90.99251509999885,91.87715879999814,None,1,91.87715879999814,,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
Y,N,None,,0,11,11,11,,,,,,,,,,,,,780,93.39233999999851,93.4759086999984,93.69252359999882,94.57583209999939,None,1,94.57583209999939,96.07590759999948,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
V,N,None,,0,12,12,12,,,,,,,,,,,,,852,96.07590759999948,96.15927879999799,96.37601419999919,97.25926479999907,None,1,97.27799719999894,,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
C,N,None,,0,13,13,13,,,,,,,,,,,,,923,98.7925030999977,98.86044039999979,99.09281169999667,99.95989439999903,None,1,99.95989439999903,101.45943629999965,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
C,Y,z,,0,14,14,14,,,,,,,,,,,,,960,101.45943629999965,101.55941169999642,101.75941669999884,,z,1,102.05940029999692,103.55948829999761,0.4802659999986645,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
V,N,None,,0,15,15,15,,,,,,,,,,,,,1033,103.55948829999761,103.66020619999836,103.8597404999964,104.75951519999944,None,1,104.75951519999944,106.25965489999726,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
X,N,None,,0,16,16,16,,,,,,,,,,,,,1106,106.25965489999726,106.35956439999791,106.55959099999745,107.45982729999741,None,1,107.45982729999741,108.95975549999639,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
Y,N,None,,0,17,17,17,,,,,,,,,,,,,1179,108.95975549999639,109.05979379999917,109.25982999999906,110.1599049999968,None,1,110.1599049999968,111.65983189999679,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
C,N,None,,0,18,18,18,,,,,,,,,,,,,1252,111.65983189999679,111.76007459999892,111.96007919999829,112.8600895999989,None,1,112.8600895999989,114.3599957999977,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
C,Y,z,,0,19,19,19,,,,,,,,,,,,,1289,114.3599957999977,114.46028079999815,114.66007999999783,,z,1,114.96027489999688,116.45997319999879,0.4835354999995616,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
A,N,None,,0,20,20,20,,,,,,,,,,,,,1362,116.45997319999879,116.56040369999755,116.76002609999705,117.66018669999903,None,1,117.66018669999903,119.16052279999712,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
W,N,None,,0,21,21,21,,,,,,,,,,,,,1435,119.16052279999712,119.26024359999792,119.46048589999918,120.36043309999877,None,1,120.36043309999877,121.86018299999705,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
X,N,None,,0,22,22,22,,,,,,,,,,,,,1508,121.86018299999705,121.96047659999749,122.16039929999897,123.06039719999899,None,1,123.06039719999899,124.56073589999869,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
X,Y,z,,0,23,23,23,,,,,,,,,,,,,1544,124.56073589999869,124.66053499999907,124.86058029999913,,z,1,125.14428999999654,126.64423019999958,0.4546552000028896,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
A,N,None,,0,24,24,24,,,,,,,,,,,,,1617,126.64423019999958,126.74387779999961,126.94403769999917,127.84426919999896,None,1,127.84426919999896,129.34401679999792,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
X,N,None,,0,25,25,25,,,,,,,,,,,,,1690,129.34401679999792,129.4444427999988,129.64470079999955,130.54464319999897,None,1,130.54464319999897,,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
X,Y,z,,0,26,26,26,,,,,,,,,,,,,1722,132.04424179999842,132.14439239999774,132.34449769999992,,z,1,132.56130119999943,134.06082739999692,0.3932678000019223,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
C,N,None,,0,27,27,27,,,,,,,,,,,,,1795,134.06082739999692,134.16328619999695,134.36079769999924,,None,1,135.27754999999888,,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
V,N,None,,0,28,28,28,,,,,,,,,,,,,1867,136.77769219999755,136.86292949999915,137.07885759999772,,None,1,137.97805279999739,,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
Y,N,None,,0,29,29,29,,,,,,,,,,,,,1938,139.47830479999902,139.54498479999893,139.7776776999999,140.6444612999985,None,1,140.66339049999806,,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
X,N,None,,0,30,30,30,,,,,,,,,,,,,2009,142.17813229999956,142.24474049999844,142.47806889999993,143.3446922999974,None,1,143.3446922999974,144.84495029999744,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
B,N,None,,0,31,31,31,,,,,,,,,,,,,2082,144.8621525999988,144.9445796,145.17782239999724,146.04458799999702,None,1,146.06179519999932,147.56176439999763,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
W,N,None,,0,32,32,32,,,,,,,,,,,,,2154,147.56176439999763,147.64484209999864,147.86299569999755,148.7446717999992,None,1,148.76150099999722,150.26196379999965,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
B,N,None,,0,33,33,33,,,,,,,,,,,,,2227,150.26196379999965,150.36176759999944,150.56183389999933,151.46177899999748,None,1,151.46177899999748,152.9628733999998,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
B,Y,z,,0,34,34,34,,,,,,,,,,,,,2261,152.9628733999998,153.04511399999683,153.27853229999891,,z,1,153.51175619999776,155.01173599999674,0.434548299999733,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
W,N,None,,0,35,35,35,,,,,,,,,,,,,2334,155.01173599999674,155.1120822999983,155.31176779999805,156.21219819999897,None,1,156.21219819999897,157.71214269999837,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
W,Y,z,,0,36,36,36,,,,,,,,,,,,,2407,157.71214269999837,157.81203639999876,158.01220419999663,158.9120961999979,None,0,158.9120961999979,160.41217439999673,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
W,Y,z,,0,37,37,37,,,,,,,,,,,,,2480,160.41217439999673,160.51197319999847,160.7120358999964,161.61223929999687,None,0,161.61223929999687,163.11193309999726,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
C,N,None,,0,38,38,38,,,,,,,,,,,,,2553,163.11193309999726,163.21238569999696,163.41196789999958,164.31204939999952,None,1,164.31204939999952,165.81222019999768,,,,,,,,,,,,,,861083,001,2024-05-15_18h29.13.990,nBack,2022.2.5,59.733302749649454,
