31.3898 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x132056a00>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x1320569a0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1, -1, -1]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x1320567f0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x13e2641c0>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
31.3900 	EXP 	window1: mouseVisible = True
31.3900 	EXP 	window1: backgroundImage = ''
31.3900 	EXP 	window1: backgroundFit = 'none'
31.3902 	EXP 	window1: mouseVisible = True
31.3905 	EXP 	window1: mouseVisible = True
31.3925 	EXP 	window1: mouseVisible = True
31.3932 	EXP 	window1: mouseVisible = True
31.4278 	EXP 	window1: mouseVisible = True
31.4280 	EXP 	window1: mouseVisible = True
31.4288 	EXP 	window1: mouseVisible = True
31.4295 	EXP 	window1: mouseVisible = True
31.4422 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
31.4423 	EXP 	window1: recordFrameIntervals = False
31.6576 	EXP 	window1: recordFrameIntervals = True
31.8397 	EXP 	Screen (0) actual frame rate measured at 59.97Hz
31.8397 	EXP 	window1: recordFrameIntervals = False
31.8404 	EXP 	window1: mouseVisible = False
63.7669 	EXP 	window1: mouseVisible = True
