stimuli_letter,target,correct_key,Letter_stimulus,trialsOne.thisRepN,trialsOne.thisTrialN,trialsOne.thisN,trialsOne.thisIndex,trialsTwo.thisRepN,trialsTwo.thisTrialN,trialsTwo.thisN,trialsTwo.thisIndex,WelcomeScreenText.started,WelcomeScreenText.stopped,WelcomeInstructions.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,text.started,text.stopped,eegtime,n_back_one.started,Key_one.started,n_back_one.stopped,Key_one.stopped,Key_one.keys,Key_one.corr,ISI.started,ISI.stopped,Key_one.rt,Intro_Block_two.started,Start_Block_One.started,Start_Block_One.keys,Start_Block_One.rt,Block_2_stimulus.started,key_Two.started,Block_2_stimulus.stopped,key_Two.stopped,key_Two.keys,key_Two.corr,key_Two.rt,GoodBye.started,GoodBye.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,20.288535700001376,22.294757800000298,22.294757800000298,23.294874100000015,z,5.298347600000852,,,,,,,,,,,,,,,,,,,,,,,,,,232632,001,2024-05-15_17h30.46.805,nBack,2022.2.5,60.12213209910982,
V,None,None,,0,0,0,0,,,,,,,,,,,28.610807099999874,29.127765100000033,73,29.127765100000033,29.211779400000523,29.429124700000102,30.31122420000065,None,1,30.31122420000065,31.811471300001358,,,,,,,,,,,,,,,232632,001,2024-05-15_17h30.46.805,nBack,2022.2.5,60.12213209910982,
X,N,None,,0,1,1,1,,,,,,,,,,,,,146,31.811471300001358,31.911365600000863,32.11081379999996,33.0114451999998,None,1,33.0114451999998,34.51133459999983,,,,,,,,,,,,,,,232632,001,2024-05-15_17h30.46.805,nBack,2022.2.5,60.12213209910982,
A,N,None,,0,2,2,2,,,,,,,,,,,,,219,34.51133459999983,34.61099170000125,34.81108099999983,35.71156300000075,None,1,35.71156300000075,37.211470300000656,,,,,,,,,,,,,,,232632,001,2024-05-15_17h30.46.805,nBack,2022.2.5,60.12213209910982,
A,Y,z,,0,3,3,3,,,,,,,,,,,,,288,37.211470300000656,37.3110112000013,37.5113534000011,,z,1,38.3444655000003,39.844679100000576,1.001709199998004,,,,,,,,,,,,,,232632,001,2024-05-15_17h30.46.805,nBack,2022.2.5,60.12213209910982,
X,N,None,,0,4,4,4,,,,,,,,,,,,,361,39.844679100000576,39.94476070000019,40.14466260000154,41.044995800000834,None,1,41.044995800000834,42.5453604000013,,,,,,,,,,,,,,,232632,001,2024-05-15_17h30.46.805,nBack,2022.2.5,60.12213209910982,
B,N,None,,0,5,5,5,,,,,,,,,,,,,433,42.5453604000013,42.62806820000151,42.8463069999998,43.728639800001474,None,1,43.74556930000108,45.24471799999992,,,,,,,,,,,,,,,232632,001,2024-05-15_17h30.46.805,nBack,2022.2.5,60.12213209910982,
B,Y,z,,0,6,6,6,,,,,,,,,,,,,506,45.24471799999992,45.3447584000005,45.54494130000057,46.44468290000077,None,0,46.44468290000077,47.94485050000003,,,,,,,,,,,,,,,232632,001,2024-05-15_17h30.46.805,nBack,2022.2.5,60.12213209910982,
X,N,None,,0,7,7,7,,,,,,,,,,,,,579,47.94485050000003,48.045213200000944,48.24498250000033,49.14520860000084,None,1,49.14520860000084,50.6451861000005,,,,,,,,,,,,,,,232632,001,2024-05-15_17h30.46.805,nBack,2022.2.5,60.12213209910982,
Y,N,None,,0,8,8,8,,,,,,,,,,,,,652,50.6451861000005,50.74552460000086,50.94512940000095,51.84537679999994,None,1,51.84537679999994,53.34514860000127,,,,,,,,,,,,,,,232632,001,2024-05-15_17h30.46.805,nBack,2022.2.5,60.12213209910982,
