stimuli_letter,target,correct_key,Letter_stimulus,trialsOne.thisRepN,trialsOne.thisTrialN,trialsOne.thisN,trialsOne.thisIndex,trialsTwo.thisRepN,trialsTwo.thisTrialN,trialsTwo.thisN,trialsTwo.thisIndex,WelcomeScreenText.started,WelcomeInstructions.started,WelcomeScreenText.stopped,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,text.started,eegtime,n_back_one.started,Key_one.started,n_back_one.stopped,Key_one.keys,Key_one.corr,ISI.started,Key_one.stopped,Key_one.rt,ISI.stopped,Intro_Block_two.started,Start_Block_One.started,Start_Block_One.keys,Start_Block_One.rt,Block_2_stimulus.started,key_Two.started,Block_2_stimulus.stopped,key_Two.keys,key_Two.corr,key_Two.stopped,key_Two.rt,GoodBye.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,13.801953099999082,15.798196699999608,15.811636500000532,16.800038499999573,z,1.6446813000002294,,,,,,,,,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
V,None,None,,0,0,0,0,,,,,,,,,,,18.46787679999943,13.101552724838257,19.024775699999736,19.06664400000045,19.33509520000007,None,1,20.174073399999543,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
X,N,None,,0,1,1,1,,,,,,,,,,,,15.796537399291992,21.668825000000652,21.76277200000004,21.97599799999989,None,1,22.869825100000526,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
A,N,None,,0,2,2,2,,,,,,,,,,,,18.49911379814148,24.37601419999919,24.456230800000412,24.68275840000024,None,1,25.56418549999944,25.56418549999944,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
A,Y,z,,0,3,3,3,,,,,,,,,,,,20.611647844314575,27.071188699999766,27.164535599999,27.378039699999135,z,1,27.671238499999163,,0.4887144999993325,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
X,N,None,,0,4,4,4,,,,,,,,,,,,23.299166679382324,29.17837259999942,29.272048000000723,29.485494200000176,None,1,30.379143199999817,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,N,None,,0,5,5,5,,,,,,,,,,,,26.002978563308716,31.88391649999903,31.965592200000174,32.191966200000024,None,1,33.07259300000078,33.07259300000078,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
B,Y,z,,0,6,6,6,,,,,,,,,,,,27.973650217056274,34.58055769999919,34.660632299999634,34.887583699999595,z,1,35.03396909999901,,0.3522469999988971,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
X,N,None,,0,7,7,7,,,,,,,,,,,,30.668104887008667,36.540473299999576,36.63370589999977,36.84728709999945,None,1,37.74200550000023,,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
Y,N,None,,0,8,8,8,,,,,,,,,,,,33.37565016746521,39.248829000000114,39.32901270000002,39.555869699999676,None,1,40.43505929999992,40.43505929999992,,,,,,,,,,,,,,,352372,001,2024-05-14_18h09.55.027,nBack,2022.2.5,74.9649913480976,
