stimuli_letter,target,correct_key,Letter_stimulus,trialsOne.thisRepN,trialsOne.thisTrialN,trialsOne.thisN,trialsOne.thisIndex,trialsTwo.thisRepN,trialsTwo.thisTrialN,trialsTwo.thisN,trialsTwo.thisIndex,WelcomeScreenText.started,WelcomeInstructions.started,WelcomeScreenText.stopped,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,text.started,text.stopped,eegtime,n_back_one.started,Key_one.started,n_back_one.stopped,Key_one.stopped,Key_one.keys,Key_one.corr,ISI.started,Key_one.rt,ISI.stopped,Intro_Block_two.started,Start_Block_One.started,Start_Block_One.keys,Start_Block_One.rt,Block_2_stimulus.started,key_Two.started,Block_2_stimulus.stopped,key_Two.stopped,key_Two.keys,key_Two.corr,key_Two.rt,GoodBye.started,GoodBye.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,28.61570040001243,30.610141900004237,30.627988200008986,31.610563700000057,z,13.400081899992074,,,,,,,,,,,,,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
V,None,None,,0,0,0,0,,,,,,,,,,,45.027547200006666,45.55081500000961,72,45.55081500000961,45.628035700006876,45.86116430000402,46.72787719999906,None,1,46.72787719999906,,,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
X,N,None,,0,1,1,1,,,,,,,,,,,,,145,48.22784490000049,48.32870320000802,48.528665600009845,,None,1,49.44413810000697,,,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
A,N,None,,0,2,2,2,,,,,,,,,,,,,217,50.94539720000466,51.02821460000996,51.244475200001034,52.128545700004906,None,1,52.128545700004906,,,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
A,Y,z,,0,3,3,3,,,,,,,,,,,,,261,53.62788280000677,53.7277238000097,53.92773229999875,,z,1,54.3457466000109,0.59295179999026,55.84710240000277,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
X,N,None,,0,4,4,4,,,,,,,,,,,,,333,55.84710240000277,55.928061500002514,56.161503399998765,57.02822659999947,None,1,57.02822659999947,,58.52831590001006,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
B,N,None,,0,5,5,5,,,,,,,,,,,,,406,58.52831590001006,58.62874810000358,58.82847410000977,59.72833160001028,None,1,59.72833160001028,,61.2288164000056,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
B,Y,z,,0,6,6,6,,,,,,,,,,,,,447,61.2288164000056,61.32825669999875,61.52863570000045,,z,1,61.89535450001131,0.5524798999831546,63.395087900004,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
X,N,None,,0,7,7,7,,,,,,,,,,,,,520,63.395087900004,63.495262500000536,63.69513740000548,64.59483000000182,None,1,64.59483000000182,,66.09535580000374,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
Y,N,None,,0,8,8,8,,,,,,,,,,,,,593,66.09535580000374,66.19512850001047,66.39584330000798,67.2951682999992,None,1,67.2951682999992,,68.7951616000064,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
Y,Y,z,,0,9,9,9,,,,,,,,,,,,,640,68.7951616000064,68.89537850000488,69.09537940000882,,z,1,69.56232209999871,0.6417480999953113,71.06218200000876,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
B,N,None,,0,10,10,10,,,,,,,,,,,,,713,71.06218200000876,71.16213780001272,71.36216160000185,72.26179950000369,None,1,72.26179950000369,,73.76215439999942,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
Y,N,None,,0,11,11,11,,,,,,,,,,,,,786,73.76215439999942,73.86213700000371,74.06211070000427,74.96224940000684,None,1,74.96224940000684,,76.46218100000988,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
V,N,None,,0,12,12,12,,,,,,,,,,,,,859,76.46218100000988,76.5628171999997,76.76217310001084,77.66217210001196,None,1,77.66217210001196,,79.16246460001275,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
C,N,None,,0,13,13,13,,,,,,,,,,,,,932,79.16246460001275,79.26214590000745,79.46261220000451,80.36227280000458,None,1,80.36227280000458,,81.86230750000686,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
C,Y,z,,0,14,14,14,,,,,,,,,,,,,985,81.86230750000686,81.9623816000094,82.16349380000611,,z,1,82.72932520000904,0.7347619999927701,84.22917470001266,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
V,N,None,,0,15,15,15,,,,,,,,,,,,,1058,84.22917470001266,84.32956769999873,84.5291631,85.42938690001029,None,1,85.42938690001029,,86.92918140000256,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
X,N,None,,0,16,16,16,,,,,,,,,,,,,1131,86.92918140000256,87.02946270001121,87.22921180000412,88.12927680001303,None,1,88.12927680001303,,89.62957780000579,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
Y,N,None,,0,17,17,17,,,,,,,,,,,,,1204,89.62957780000579,89.72946460000821,89.92929470000672,90.82967780000763,None,1,90.82967780000763,,92.32945930000278,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
C,N,None,,0,18,18,18,,,,,,,,,,,,,1277,92.32945930000278,92.42979840000044,92.62938810000196,93.52944760001265,None,1,93.52944760001265,,95.0295471999998,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
C,Y,z,,0,19,19,19,,,,,,,,,,,,,1330,95.0295471999998,95.12970220000716,95.33035160000145,,z,1,95.89638780000678,0.7420908999920357,97.39672730000166,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
A,N,None,,0,20,20,20,,,,,,,,,,,,,1403,97.39672730000166,97.49658770000678,97.69642659999954,98.59650610000244,None,1,98.59650610000244,,100.09638050000649,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
W,N,None,,0,21,21,21,,,,,,,,,,,,,1476,100.09638050000649,100.19667800000752,100.39664450001146,101.2966146000108,None,1,101.2966146000108,,102.79702690000704,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
X,N,None,,0,22,22,22,,,,,,,,,,,,,1549,102.79702690000704,102.89682980001089,103.09700630001316,103.99658390000695,None,1,103.99658390000695,,105.49713750000228,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
X,Y,z,,0,23,23,23,,,,,,,,,,,,,1622,105.49713750000228,105.59717870000168,105.7968419000099,106.6969889000029,None,0,106.6969889000029,,108.19711960000859,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
A,N,None,,0,24,24,24,,,,,,,,,,,,,1695,108.19711960000859,108.29674119999981,108.49674349999987,109.39706260000821,None,1,109.39706260000821,,,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
X,N,None,,0,25,25,25,,,,,,,,,,,,,1736,110.89686660000007,110.99666150000121,111.196895400004,,z,0,111.56355980000808,0.5369837999896845,113.06438200001139,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
X,Y,z,,0,26,26,26,,,,,,,,,,,,,1809,113.06438200001139,113.16365640000731,113.36364600001252,114.26359740000044,None,0,114.26359740000044,,,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
C,N,None,,0,27,27,27,,,,,,,,,,,,,1882,115.76375030000054,115.86382540001068,116.06404440000188,116.96409980001044,None,1,116.96409980001044,,118.46387460001279,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
V,N,None,,0,28,28,28,,,,,,,,,,,,,1955,118.46387460001279,118.56391350000922,118.76402460000827,119.66404820000753,None,1,119.66404820000753,,121.16407760001312,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
Y,N,None,,0,29,29,29,,,,,,,,,,,,,2028,121.16407760001312,121.26417280000169,121.4640902000101,122.36422990000574,None,1,122.36422990000574,,123.86422540000058,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
X,N,None,,0,30,30,30,,,,,,,,,,,,,2101,123.86422540000058,123.9642915000004,124.16466240001319,125.06427370000165,None,1,125.06427370000165,,126.56431110000995,,,,,,,,,,,,,,694541.,001,2024-05-16_14h07.05.728,nBack,2022.2.5,60.375827451788275,
