stimuli_letter,target,correct_key,trialsOne.thisRepN,trialsOne.thisTrialN,trialsOne.thisN,trialsOne.thisIndex,WelcomeScreenText.started,WelcomeScreenText.stopped,WelcomeInstructions.started,keyWelcome.started,keyWelcome.keys,keyWelcome.rt,text.started,text.stopped,eegtime,n_back_one.started,Key_one.started,n_back_one.stopped,Key_one.stopped,Key_one.keys,Key_one.corr,ISI.started,ISI.stopped,Key_one.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,22.527329099999406,24.526780600001075,24.526780600001075,25.526537600000665,z,13.455032599998958,,,,,,,,,,,,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
V,None,None,0,0,0,0,,,,,,,39.01057010000113,39.53679229999943,72,39.53679229999943,39.61059229999955,39.84410460000072,40.710514200000034,None,1,40.710514200000034,42.21083859999999,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
X,N,None,0,1,1,1,,,,,,,,,145,42.21083859999999,42.31070010000076,42.511449900001026,43.410659600000145,None,1,43.410659600000145,44.91078790000029,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
A,N,None,0,2,2,2,,,,,,,,,217,44.91078790000029,44.99433610000051,45.21093550000114,46.09395179999956,None,1,46.11076130000038,47.61122980000073,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
A,Y,z,0,3,3,3,,,,,,,,,245,47.61122980000073,47.69609049999963,47.91067330000078,,z,1,48.06091120000019,49.560668399999486,0.3339568999999756,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
X,N,None,0,4,4,4,,,,,,,,,318,49.560668399999486,49.660893100000976,49.860758500000884,50.76105690000077,None,1,50.76105690000077,52.26141180000013,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
B,N,None,0,5,5,5,,,,,,,,,391,52.26141180000013,52.36113040000055,52.561385099999825,53.46127630000046,None,1,53.46127630000046,54.961049900000944,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
B,Y,z,0,6,6,6,,,,,,,,,464,54.961049900000944,55.061186500000986,55.26121240000066,56.16108300000087,None,0,56.16108300000087,57.66136130000086,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
X,N,None,0,7,7,7,,,,,,,,,537,57.66136130000086,57.761329599999954,57.961454300000696,58.861753999999564,None,1,58.861753999999564,60.36237160000019,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
Y,N,None,0,8,8,8,,,,,,,,,610,60.36237160000019,60.461254499999995,60.66128170000047,61.5613656000005,None,1,61.5613656000005,63.0614743999995,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
Y,Y,z,0,9,9,9,,,,,,,,,683,63.0614743999995,63.16150440000092,63.36134409999977,64.2616536000005,None,0,64.2616536000005,65.7614037000003,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
B,N,None,0,10,10,10,,,,,,,,,756,65.7614037000003,65.86156210000081,66.06171119999999,66.9614388000009,None,1,66.9614388000009,68.46208690000094,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
Y,N,None,0,11,11,11,,,,,,,,,829,68.46208690000094,68.56229639999947,68.7616994,69.66201440000077,None,1,69.66201440000077,71.16172279999955,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
V,N,None,0,12,12,12,,,,,,,,,902,71.16172279999955,71.26186349999989,71.46168779999971,72.36207289999948,None,1,72.36207289999948,73.86196500000005,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
C,N,None,0,13,13,13,,,,,,,,,975,73.86196500000005,73.9619488999997,74.16188150000016,75.06205799999952,None,1,75.06205799999952,76.56183129999954,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
C,Y,z,0,14,14,14,,,,,,,,,1048,76.56183129999954,76.66196640000089,76.86195580000094,77.76226920000045,None,0,77.76226920000045,79.26179930000035,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
V,N,None,0,15,15,15,,,,,,,,,1095,79.26179930000035,79.36240680000083,79.56187909999971,,z,0,80.02878220000093,81.5286914999997,0.6396998999989592,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
X,N,None,0,16,16,16,,,,,,,,,1168,81.5286914999997,81.62906500000099,81.82873370000016,82.72888550000062,None,1,82.72888550000062,84.2288668000001,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
Y,N,None,0,17,17,17,,,,,,,,,1241,84.2288668000001,84.32959230000051,84.52894000000015,85.42891380000037,None,1,85.42891380000037,86.92904640000052,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
C,N,None,0,18,18,18,,,,,,,,,1314,86.92904640000052,87.02893869999934,87.22918190000019,88.12940080000044,None,1,88.12940080000044,89.62910750000083,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
C,Y,z,0,19,19,19,,,,,,,,,1387,89.62910750000083,89.72920820000036,89.92929809999987,90.82940640000015,None,0,90.82940640000015,92.32953000000089,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
A,N,None,0,20,20,20,,,,,,,,,1460,92.32953000000089,92.42982520000078,92.62938020000001,93.52984500000093,None,1,93.52984500000093,95.02961900000082,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
W,N,None,0,21,21,21,,,,,,,,,1533,95.02961900000082,95.12935450000077,95.3299035,96.22947440000098,None,1,96.22947440000098,97.72937740000089,,713897,001,2024-05-15_17h25.58.759,nBack,2022.2.5,59.97951099860911,
